"macro_code","macro_name_sil","member_code","member_status","in_linguameta","member_name_linguameta","member_name_sil","member_endonym","member_n_speakers","member_endangerment","member_glottocode","names_differ"
"ful","Fulah","fuc","A",TRUE,"Pulaar","Pulaar",NA,3700000,"Not endangered","pula1263",FALSE
"ful","Fulah","fue","A",TRUE,"Borgu Fulfulde","Borgu Fulfulde",NA,6e+05,"Not endangered","borg1235",FALSE
"ful","Fulah","fuf","A",TRUE,"Pular","Pular","Fuuta Jalon",3e+06,"Not endangered","pula1262",FALSE
"ful","Fulah","fuh","A",TRUE,"Western Niger Fulfulde","Western Niger Fulfulde",NA,NA,"Not endangered","west2454",FALSE
"ful","Fulah","fui","A",TRUE,"Bagirmi Fulfulde","Bagirmi Fulfulde",NA,NA,"Not endangered","bagi1244",FALSE
"ful","Fulah","fuq","A",TRUE,"Central-Eastern Niger Fulfulde","Central-Eastern Niger Fulfulde",NA,1600000,"Not endangered","cent2018",FALSE
"ful","Fulah","fuv","A",TRUE,"Nigerian Fulfulde","Nigerian Fulfulde",NA,1.4e+07,"Not endangered","nige1253",FALSE
"gba","Gbaya (Central African Republic)","bdt","A",TRUE,"Bokoto","Bokoto",NA,130000,"Not endangered","boko1261",FALSE
"gba","Gbaya (Central African Republic)","gbp","A",TRUE,"Gbaya-Bossangoa","Gbaya-Bossangoa","Gbɛ́yá",250000,"Not endangered","gbay1287",FALSE
"gba","Gbaya (Central African Republic)","gbq","A",TRUE,"Gbaya-Bozoum","Gbaya-Bozoum",NA,NA,"Not endangered","gbay1286",FALSE
"gba","Gbaya (Central African Republic)","gmm","A",TRUE,"Gbaya-Mbodomo","Gbaya-Mbodomo",NA,8000,"Not endangered","gbay1281",FALSE
"gba","Gbaya (Central African Republic)","gso","A",TRUE,"Southwest Gbaya","Southwest Gbaya","Ɓìyàndà",2e+05,"Not endangered","sout2785",FALSE
"gba","Gbaya (Central African Republic)","gya","A",TRUE,"Northwest Gbaya","Northwest Gbaya",NA,260000,"Not endangered","nort2775",FALSE
"gba","Gbaya (Central African Republic)","mdo","R",FALSE,NA,"Southwest Gbaya",NA,NA,NA,NA,NA
"gon","Gondi","esg","A",TRUE,"Aheri Gondi","Aheri Gondi","గోండి",150000,NA,NA,FALSE
"gon","Gondi","ggo","R",FALSE,NA,"Southern Gondi",NA,NA,NA,NA,NA
"gon","Gondi","gno","A",TRUE,"Northern Gondi","Northern Gondi","गोंडी",2700000,"Vulnerable","nort2702",FALSE
"gon","Gondi","wsg","A",TRUE,"Adilabad Gondi","Adilabad Gondi",NA,3e+05,NA,NA,FALSE
"grb","Grebo","gbo","A",TRUE,"Northern Grebo","Northern Grebo","Kréébo",390000,"Not endangered","nort2810",FALSE
"grb","Grebo","gec","A",TRUE,"Gboloo Grebo","Gboloo Grebo","Kréébo",390000,"Not endangered","gbol1235",FALSE
"grb","Grebo","grj","A",TRUE,"Southern Grebo","Southern Grebo",NA,NA,"Not endangered","sout2826",FALSE
"grb","Grebo","grv","A",TRUE,"Central Grebo","Central Grebo",NA,390000,"Not endangered","cent2041",FALSE
"grb","Grebo","gry","A",TRUE,"Barclayville Grebo","Barclayville Grebo",NA,390000,"Not endangered","barc1235",FALSE
"grn","Guarani","gnw","A",TRUE,"Western Bolivian Guaraní","Western Bolivian Guaraní",NA,7000,"Definitely endangered","west2640",FALSE
"grn","Guarani","gug","A",TRUE,"Paraguayan Guaraní","Paraguayan Guaraní",NA,4800000,"Not endangered","para1311",FALSE
"grn","Guarani","gui","A",TRUE,"Eastern Bolivian Guaraní","Eastern Bolivian Guaraní",NA,81000,"Vulnerable","east2555",FALSE
"grn","Guarani","gun","A",TRUE,"Mbyá Guaraní","Mbyá Guaraní",NA,15000,"Vulnerable","mbya1239",FALSE
"grn","Guarani","nhd","A",TRUE,"Chiripá","Chiripá",NA,16000,"Definitely endangered","chir1286",FALSE
"hai","Haida","hax","A",TRUE,"Southern Haida","Southern Haida",NA,13,"Critically endangered","sout2956",FALSE
"hai","Haida","hdn","A",TRUE,"Northern Haida","Northern Haida",NA,14,"Critically endangered","nort2938",FALSE
"hbs","Serbo-Croatian","bos","A",FALSE,NA,"Bosnian",NA,NA,NA,NA,NA
"hbs","Serbo-Croatian","cnr","A",TRUE,"Montenegrin","Montenegrin","crnogorski",2e+05,"Not endangered","mont1282",FALSE
"hbs","Serbo-Croatian","hrv","A",FALSE,NA,"Croatian",NA,NA,NA,NA,NA
"hbs","Serbo-Croatian","srp","A",FALSE,NA,"Serbian",NA,NA,NA,NA,NA
"hmn","Hmong","blu","R",FALSE,NA,"Hmong Njua",NA,NA,NA,NA,NA
"hmn","Hmong","cqd","A",TRUE,"Chuanqiandian Cluster Miao","Chuanqiandian Cluster Miao",NA,3700000,"Not endangered","chua1256",FALSE
"hmn","Hmong","hea","A",TRUE,"Northern Qiandong Miao","Northern Qiandong Miao","Hmub",1200000,"Not endangered","nort2747",FALSE
"hmn","Hmong","hma","A",TRUE,"Southern Mashan Hmong","Southern Mashan Hmong",NA,NA,"Vulnerable","sout1556",FALSE
"hmn","Hmong","hmc","A",TRUE,"Central Huishui Hmong","Central Huishui Hmong",NA,NA,"Not endangered","cent2013",FALSE
"hmn","Hmong","hmd","A",TRUE,"Large Flowery Miao","Large Flowery Miao",NA,3e+05,"Not endangered","larg1235",FALSE
"hmn","Hmong","hme","A",TRUE,"Eastern Huishui Hmong","Eastern Huishui Hmong",NA,NA,"Vulnerable","east2372",FALSE
"hmn","Hmong","hmg","A",TRUE,"Southwestern Guiyang Hmong","Southwestern Guiyang Hmong",NA,190000,"Not endangered","sout2756",FALSE
"hmn","Hmong","hmh","A",TRUE,"Southwestern Huishui Hmong","Southwestern Huishui Hmong",NA,NA,"Not endangered","sout2755",FALSE
"hmn","Hmong","hmi","A",TRUE,"Northern Huishui Hmong","Northern Huishui Hmong",NA,NA,"Not endangered","nort2749",FALSE
"hmn","Hmong","hmj","A",TRUE,"Ge","Ge",NA,60000,"Vulnerable","geee1239",FALSE
"hmn","Hmong","hml","A",TRUE,"Luopohe Hmong","Luopohe Hmong",NA,40000,"Not endangered","luop1235",FALSE
"hmn","Hmong","hmm","A",TRUE,"Central Mashan Hmong","Central Mashan Hmong",NA,NA,"Not endangered","cent1394",FALSE
"hmn","Hmong","hmp","A",TRUE,"Northern Mashan Hmong","Northern Mashan Hmong",NA,NA,"Not endangered","nort1546",FALSE
"hmn","Hmong","hmq","A",TRUE,"Eastern Qiandong Miao","Eastern Qiandong Miao",NA,350000,"Not endangered","east2370",FALSE
"hmn","Hmong","hms","A",TRUE,"Southern Qiandong Miao","Southern Qiandong Miao",NA,5e+05,"Not endangered","sout2754",FALSE
"hmn","Hmong","hmw","A",TRUE,"Western Mashan Hmong","Western Mashan Hmong",NA,140000,"Vulnerable","west1507",FALSE
"hmn","Hmong","hmy","A",TRUE,"Southern Guiyang Hmong","Southern Guiyang Hmong",NA,NA,"Not endangered","sout1555",FALSE
"hmn","Hmong","hmz","A",TRUE,"Hmong Shua","Hmong Shua",NA,250000,"Not endangered","hmon1331",FALSE
"hmn","Hmong","hnj","A",TRUE,"Hmong Njua","Hmong Njua","𞄀𞄄𞄰𞄩𞄍𞄜𞄰",276000,"Not endangered","hmon1264",FALSE
"hmn","Hmong","hrm","A",TRUE,"Horned Miao","Horned Miao",NA,8,"Not endangered","horn1235",FALSE
"hmn","Hmong","huj","A",TRUE,"Northern Guiyang Hmong","Northern Guiyang Hmong",NA,NA,"Not endangered","nort1545",FALSE
"hmn","Hmong","mmr","A",TRUE,"Western Xiangxi Miao","Western Xiangxi Miao","Dut Xongb",9e+05,"Not endangered","west2430",FALSE
"hmn","Hmong","muq","A",TRUE,"Eastern Xiangxi Miao","Eastern Xiangxi Miao",NA,NA,"Not endangered","east2371",FALSE
"hmn","Hmong","mww","A",TRUE,"Hmong Daw","Hmong Daw","us Hmoob",3400000,"Not endangered","hmon1333",FALSE
"hmn","Hmong","sfm","A",TRUE,"Small Flowery Miao","Small Flowery Miao",NA,84000,"Not endangered","smal1236",FALSE
"iku","Inuktitut","ike","A",TRUE,"Eastern Canadian Inuktitut","Eastern Canadian Inuktitut",NA,34000,"Vulnerable","east2534",FALSE
"iku","Inuktitut","ikt","A",TRUE,"Inuinnaqtun","Inuinnaqtun",NA,NA,"Vulnerable","west2618",FALSE
"ipk","Inupiaq","esi","A",TRUE,"North Alaskan Inupiatun","North Alaskan Inupiatun",NA,6700,"Severely endangered","nort2943",FALSE
"ipk","Inupiaq","esk","A",TRUE,"Northwest Alaska Inupiatun","Northwest Alaska Inupiatun",NA,1200,"Severely endangered","nort2945",FALSE
"jrb","Judeo-Arabic","ajt","R",FALSE,NA,"Judeo-Tunisian Arabic",NA,NA,NA,NA,NA
"jrb","Judeo-Arabic","aju","A",TRUE,"Judeo-Moroccan Arabic","Judeo-Moroccan Arabic",NA,66000,"Not endangered","jude1265",FALSE
"jrb","Judeo-Arabic","jye","A",TRUE,"Judeo-Yemeni Arabic","Judeo-Yemeni Arabic",NA,NA,"Vulnerable","jude1267",FALSE
"jrb","Judeo-Arabic","yhd","A",TRUE,"Judeo-Iraqi Arabic","Judeo-Iraqi Arabic",NA,97000,"Not endangered","jude1266",FALSE
"jrb","Judeo-Arabic","yud","A",TRUE,"Judeo-Tripolitanian Arabic","Judeo-Tripolitanian Arabic",NA,35000,"Vulnerable","jude1264",FALSE
"kau","Kanuri","kby","A",TRUE,"Manga Kanuri","Manga Kanuri",NA,480000,"Not endangered","mang1399",FALSE
"kau","Kanuri","knc","A",TRUE,"Central Kanuri","Central Kanuri",NA,3200000,"Not endangered","cent2050",FALSE
"kau","Kanuri","krt","A",TRUE,"Tumari Kanuri","Tumari Kanuri",NA,NA,"Not endangered","tuma1248",FALSE
"kln","Kalenjin","enb","A",TRUE,"Markweeta","Markweeta","Markweeta",180000,"Definitely endangered","mark1255",FALSE
"kln","Kalenjin","eyo","A",TRUE,"Keiyo","Keiyo","Elgeyo",310000,"Not endangered","keiy1238",FALSE
"kln","Kalenjin","niq","A",TRUE,"Nandi","Nandi","Naandi",950000,"Not endangered","nand1266",FALSE
"kln","Kalenjin","oki","A",TRUE,"Okiek","Okiek",NA,79000,"Severely endangered","okie1245",FALSE
"kln","Kalenjin","pko","A",TRUE,"Pökoot","Pökoot","Pokot",370000,"Not endangered","poko1263",FALSE
"kln","Kalenjin","sgc","A",TRUE,"Kipsigis","Kipsigis","Kipsigis",1900000,"Not endangered","kips1239",FALSE
"kln","Kalenjin","spy","A",TRUE,"Sabaot","Sabaot",NA,240000,"Definitely endangered","saba1262",FALSE
"kln","Kalenjin","tec","A",TRUE,"Terik","Terik","Nyang’ori",3e+05,"Not endangered","teri1244",FALSE
"kln","Kalenjin","tuy","A",TRUE,"Tugen","Tugen",NA,140000,"Not endangered","tuge1241",FALSE
"kok","Konkani (macrolanguage)","gom","A",TRUE,"Konkani","Goan Konkani","कोंकणी",4200000,"Not endangered","goan1235",TRUE
"kok","Konkani (macrolanguage)","knn","A",TRUE,"Konkani","Konkani (individual language)",NA,2400000,"Not endangered","konk1267",TRUE
"kom","Komi","koi","A",TRUE,"Komi-Permyak","Komi-Permyak","Перем коми",64000,"Vulnerable","komi1269",FALSE
"kom","Komi","kpv","A",TRUE,"Komi-Zyrian","Komi-Zyrian",NA,160000,"Vulnerable","komi1268",FALSE
