"municipality","department","muni_anexo","file","size_kb","id_muni","qid","muni_gadm","commons_filename","commons_url","mid","upload_date","status"
"Jesús de Machaca","La Paz","Jesús de Machaca","output/locator_maps/muni-maps-final/Jesus_de_Machaca_muni_locator_map.svg",2837.4,"020806","Q1305298","Jesús de Machaka","Jesús de Machaca muni locator map.svg","https://commons.wikimedia.org/wiki/File:Jesús_de_Machaca_muni_locator_map.svg","M192030679","2026-05-15","uploaded"
"San Andrés de Machaca","La Paz","San Andrés de Machaca","output/locator_maps/muni-maps-final/San_Andres_de_Machaca_muni_locator_map.svg",2837.4,"020805","Q1544522","La (Marka) San Andrés de Machaca","San Andrés de Machaca muni locator map.svg","https://commons.wikimedia.org/wiki/File:San_Andrés_de_Machaca_muni_locator_map.svg","M192030687","2026-05-15","uploaded"
"La Asunta","La Paz","La Asunta","output/locator_maps/muni-maps-final/La_Asunta_muni_locator_map.svg",2837.4,"021105","Q1552078","La Asunta","La Asunta muni locator map.svg","https://commons.wikimedia.org/wiki/File:La_Asunta_muni_locator_map.svg","M192030698","2026-05-15","uploaded"
"Laja","La Paz","Laja","output/locator_maps/muni-maps-final/Laja_muni_locator_map.svg",2837.4,"021202","Q1544635","Laja","Laja muni locator map.svg","https://commons.wikimedia.org/wiki/File:Laja_muni_locator_map.svg","M192030710","2026-05-15","uploaded"
"Luribay","La Paz","Luribay","output/locator_maps/muni-maps-final/Luribay_muni_locator_map.svg",2837.4,"020901","Q1819426","Luribay","Luribay muni locator map.svg","https://commons.wikimedia.org/wiki/File:Luribay_muni_locator_map.svg","M192030724","2026-05-15","uploaded"
"Malla","La Paz","Malla","output/locator_maps/muni-maps-final/Malla_muni_locator_map.svg",2837.4,"020904","Q1315889","Malla","Malla muni locator map.svg","https://commons.wikimedia.org/wiki/File:Malla_muni_locator_map.svg","M192030737","2026-05-15","uploaded"
"Mapiri","La Paz","Mapiri","output/locator_maps/muni-maps-final/Mapiri_muni_locator_map.svg",2837.4,"020607","Q1585050","Mapiri","Mapiri muni locator map.svg","https://commons.wikimedia.org/wiki/File:Mapiri_muni_locator_map.svg","M192030748","2026-05-15","uploaded"
"Mecapaca","La Paz","Mecapaca","output/locator_maps/muni-maps-final/Mecapaca_muni_locator_map.svg",2837.4,"020103","Q1551628","Mecapaca","Mecapaca muni locator map.svg","https://commons.wikimedia.org/wiki/File:Mecapaca_muni_locator_map.svg","M192030759","2026-05-15","uploaded"
"Mocomoco","La Paz","Mocomoco","output/locator_maps/muni-maps-final/Mocomoco_muni_locator_map.svg",2837.4,"020402","Q1544446","Mocomoco","Mocomoco muni locator map.svg","https://commons.wikimedia.org/wiki/File:Mocomoco_muni_locator_map.svg","M192030769","2026-05-15","uploaded"
"Nazacara de Pacajes","La Paz","Nazacara de Pacajes","output/locator_maps/muni-maps-final/Nazacara_de_Pacajes_muni_locator_map.svg",2837.4,"020307","Q1544578","Nazacara de Pacajes","Nazacara de Pacajes muni locator map.svg","https://commons.wikimedia.org/wiki/File:Nazacara_de_Pacajes_muni_locator_map.svg","M192030780","2026-05-15","uploaded"
"La Paz","La Paz","La Paz","output/locator_maps/muni-maps-final/La_Paz_muni_locator_map.svg",2837.4,"020101","Q591120","Nuestra Señora de La Paz","La Paz muni locator map.svg","https://commons.wikimedia.org/wiki/File:La_Paz_muni_locator_map.svg","M192030793","2026-05-15","uploaded"
"Palca","La Paz","Palca","output/locator_maps/muni-maps-final/Palca_muni_locator_map.svg",2837.4,"020102","Q1536059","Palca","Palca muni locator map.svg","https://commons.wikimedia.org/wiki/File:Palca_muni_locator_map.svg","M192030803","2026-05-15","uploaded"
"Palos Blancos","La Paz","Palos Blancos","output/locator_maps/muni-maps-final/Palos_Blancos_muni_locator_map.svg",2837.4,"021104","Q1551606","Palos Blancos","Palos Blancos muni locator map.svg","https://commons.wikimedia.org/wiki/File:Palos_Blancos_muni_locator_map.svg","M192030814","2026-05-15","uploaded"
"Papel Pampa","La Paz","Papel Pampa","output/locator_maps/muni-maps-final/Papel_Pampa_muni_locator_map.svg",2837.4,"021802","Q1434273","Papel Pampa","Papel Pampa muni locator map.svg","https://commons.wikimedia.org/wiki/File:Papel_Pampa_muni_locator_map.svg","M192030828","2026-05-15","uploaded"
"Patacamaya","La Paz","Patacamaya","output/locator_maps/muni-maps-final/Patacamaya_muni_locator_map.svg",2837.4,"021305","Q490971","Patacamaya","Patacamaya muni locator map.svg","https://commons.wikimedia.org/wiki/File:Patacamaya_muni_locator_map.svg","M192030837","2026-05-15","uploaded"
"Pelechuco","La Paz","Pelechuco","output/locator_maps/muni-maps-final/Pelechuco_muni_locator_map.svg",2837.4,"020702","Q1297662","Pelechuco","Pelechuco muni locator map.svg","https://commons.wikimedia.org/wiki/File:Pelechuco_muni_locator_map.svg","M192030851","2026-05-15","uploaded"
"Pucarani","La Paz","Pucarani","output/locator_maps/muni-maps-final/Pucarani_muni_locator_map.svg",2837.4,"021201","Q1265440","Pucarani","Pucarani muni locator map.svg","https://commons.wikimedia.org/wiki/File:Pucarani_muni_locator_map.svg","M192030861","2026-05-15","uploaded"
"Puerto Acosta","La Paz","Puerto Acosta","output/locator_maps/muni-maps-final/Puerto_Acosta_muni_locator_map.svg",2837.4,"020401","Q1544478","Puerto Acosta","Puerto Acosta muni locator map.svg","https://commons.wikimedia.org/wiki/File:Puerto_Acosta_muni_locator_map.svg","M192030875","2026-05-15","uploaded"
"Puerto Carabuco","La Paz","Puerto Carabuco","output/locator_maps/muni-maps-final/Puerto_Carabuco_muni_locator_map.svg",2837.4,"020403","Q289565","Puerto Mayor de Carabuco","Puerto Carabuco muni locator map.svg","https://commons.wikimedia.org/wiki/File:Puerto_Carabuco_muni_locator_map.svg","M192030893","2026-05-15","uploaded"
"Guaqui","La Paz","Guaqui","output/locator_maps/muni-maps-final/Guaqui_muni_locator_map.svg",2837.4,"020802","Q1118260","Puerto Mayor de Guaqui","Guaqui muni locator map.svg","https://commons.wikimedia.org/wiki/File:Guaqui_muni_locator_map.svg","M192030907","2026-05-15","uploaded"
"Puerto Pérez","La Paz","Puerto Pérez","output/locator_maps/muni-maps-final/Puerto_Perez_muni_locator_map.svg",2837.4,"021204","Q1544630","Puerto Pérez","Puerto Pérez muni locator map.svg","https://commons.wikimedia.org/wiki/File:Puerto_Pérez_muni_locator_map.svg","M192030917","2026-05-15","uploaded"
"Quiabaya","La Paz","Quiabaya","output/locator_maps/muni-maps-final/Quiabaya_muni_locator_map.svg",2837.4,"020604","Q1585064","Quiabaya","Quiabaya muni locator map.svg","https://commons.wikimedia.org/wiki/File:Quiabaya_muni_locator_map.svg","M192030928","2026-05-15","uploaded"
"Quime","La Paz","Quime","output/locator_maps/muni-maps-final/Quime_muni_locator_map.svg",2837.4,"021002","Q1819405","Quime","Quime muni locator map.svg","https://commons.wikimedia.org/wiki/File:Quime_muni_locator_map.svg","M192030938","2026-05-15","uploaded"
"San Buenaventura","La Paz","San Buenaventura","output/locator_maps/muni-maps-final/San_Buenaventura_muni_locator_map.svg",2837.4,"021502","Q1814898","San Buenaventura","San Buenaventura muni locator map.svg","https://commons.wikimedia.org/wiki/File:San_Buenaventura_muni_locator_map.svg","M192030950","2026-05-15","uploaded"
