"municipality","department","muni_anexo","file","size_kb"
"San Benito","Cochabamba","San Benito","output/locator_maps/muni-maps-final/San_Benito_muni_locator_map.svg",2837.4
"Santivañez","Cochabamba","Santiváñez","output/locator_maps/muni-maps-final/Santivanez_muni_locator_map.svg",2837.4
"Shinahota","Cochabamba","Shinahota","output/locator_maps/muni-maps-final/Shinahota_muni_locator_map.svg",2837.4
"Sicaya","Cochabamba","Sicaya","output/locator_maps/muni-maps-final/Sicaya_muni_locator_map.svg",2837.4
"Sipesipe","Cochabamba","Sipe Sipe","output/locator_maps/muni-maps-final/Sipe_Sipe_muni_locator_map.svg",2837.4
"Tacachi","Cochabamba","Tacachi","output/locator_maps/muni-maps-final/Tacachi_muni_locator_map.svg",2837.4
"Tacopaya","Cochabamba","Tacopaya","output/locator_maps/muni-maps-final/Tacopaya_muni_locator_map.svg",2837.4
"Tapacarí","Cochabamba","Tapacarí","output/locator_maps/muni-maps-final/Tapacari_muni_locator_map.svg",2837.4
"Tarata","Cochabamba","Tarata","output/locator_maps/muni-maps-final/Tarata_muni_locator_map.svg",2837.4
"Tiquipaya","Cochabamba","Tiquipaya","output/locator_maps/muni-maps-final/Tiquipaya_muni_locator_map.svg",2837.4
"Tiraque","Cochabamba","Tiraque","output/locator_maps/muni-maps-final/Tiraque_muni_locator_map.svg",2837.4
"Toco","Cochabamba","Toco","output/locator_maps/muni-maps-final/Toco_muni_locator_map.svg",2837.4
"Tolata","Cochabamba","Tolata","output/locator_maps/muni-maps-final/Tolata_muni_locator_map.svg",2837.4
"Totora","Cochabamba","Totora","output/locator_maps/muni-maps-final/Totora_(Cochabamba)_muni_locator_map.svg",2837.4
"Vacas","Cochabamba","Vacas","output/locator_maps/muni-maps-final/Vacas_muni_locator_map.svg",2837.4
"Vila Vila","Cochabamba","Vila Vila","output/locator_maps/muni-maps-final/Vila_Vila_muni_locator_map.svg",2837.4
"Villa Gualberto Villarroel","Cochabamba","Cuchumuela","output/locator_maps/muni-maps-final/Cuchumuela_muni_locator_map.svg",2837.4
"Villa Rivero","Cochabamba","Villa Rivero","output/locator_maps/muni-maps-final/Villa_Rivero_muni_locator_map.svg",2837.4
"Villa Tunari","Cochabamba","Villa Tunari","output/locator_maps/muni-maps-final/Villa_Tunari_muni_locator_map.svg",2837.4
"Vinto","Cochabamba","Vinto","output/locator_maps/muni-maps-final/Vinto_muni_locator_map.svg",2837.4
"Achacachi","La Paz","Achacachi","output/locator_maps/muni-maps-final/Achacachi_muni_locator_map.svg",2837.4
"Achocalla","La Paz","Achocalla","output/locator_maps/muni-maps-final/Achocalla_muni_locator_map.svg",2837.4
"Alto Beni","La Paz","Alto Beni","output/locator_maps/muni-maps-final/Alto_Beni_muni_locator_map.svg",2837.4
"Apolo","La Paz","Apolo","output/locator_maps/muni-maps-final/Apolo_muni_locator_map.svg",2837.4
"Aucapata","La Paz","Aucapata","output/locator_maps/muni-maps-final/Aucapata_muni_locator_map.svg",2837.4
"Ayata","La Paz","Ayata","output/locator_maps/muni-maps-final/Ayata_muni_locator_map.svg",2837.4
"Ayo Ayo","La Paz","Ayo Ayo","output/locator_maps/muni-maps-final/Ayo_Ayo_muni_locator_map.svg",2837.4
"Batallas","La Paz","Batallas","output/locator_maps/muni-maps-final/Batallas_muni_locator_map.svg",2837.4
"Cairoma","La Paz","Cairoma","output/locator_maps/muni-maps-final/Cairoma_muni_locator_map.svg",2837.4
"Cajuata","La Paz","Cajuata","output/locator_maps/muni-maps-final/Cajuata_muni_locator_map.svg",2837.4
"Calacoto","La Paz","Calacoto","output/locator_maps/muni-maps-final/Calacoto_muni_locator_map.svg",2837.4
