NOMBRE|CARGO|OPCION O SIGLA|CODIGO GEOGRAFIA|CANDIDATO O GANADORBONNY ALBERTO TITO CARI|ALCALDE (SA)|undefined|undefined|ELECTO
FELIX  VEIZAGA  ZURITA|ALCALDE (SA)|undefined|undefined|ELECTO
PEDRO   GUTIERREZ   VIDAURRE|ALCALDE (SA)|undefined|undefined|ELECTO
SEGUNDINA   ORELLANA   PANIAGUA|ALCALDE (SA)|undefined|undefined|ELECTO
EMELIANO  PEREZ   CABEZAS|ALCALDE (SA)|undefined|undefined|ELECTO
CRISPIN   CHIRI I BERNA|ALCALDE (SA)|undefined|undefined|ELECTO
JOSE LUIS  ROQUE  RODRIGUEZ|ALCALDE (SA)|undefined|undefined|ELECTO
DANIEL FERNANDO   VALLEJO   VARGAS |ALCALDE (SA)|undefined|undefined|ELECTO
FERNANDO   ALVAREZ   CASTRO|ALCALDE (SA)|undefined|undefined|ELECTO
JUAN   SILES   POZO|ALCALDE (SA)|undefined|undefined|ELECTO
JAIME ESTEBAN   ZEBALLOS  VARGAS|ALCALDE (SA)|undefined|undefined|ELECTO
JOSE JHAMIL   RODRIGUEZ   CLAROS|ALCALDE (SA)|undefined|undefined|ELECTO
FELIX MARIO  GALARZA   ALA|ALCALDE (SA)|undefined|undefined|ELECTO
JUAN   PAHUASI   ARGOTE|ALCALDE (SA)|undefined|undefined|ELECTO
ALFREDO  LUCANA  RAMOS|ALCALDE (SA)|undefined|undefined|ELECTO
LUIS   ARCE   CLEMENTE |ALCALDE (SA)|undefined|undefined|ELECTO
ADOLFO  MERIDA   DURAN |ALCALDE (SA)|undefined|undefined|ELECTO
MARCOS CHOQUETICLLA TITO|ALCALDE (SA)|undefined|undefined|ELECTO
MILTON HUAYLLAS RAMOS|ALCALDE (SA)|undefined|undefined|ELECTO
JUSTO VENTURA GUARAYO|ALCALDE (SA)|undefined|undefined|ELECTO
CASTO CHIRILLA CHAMBI|ALCALDE (SA)|undefined|undefined|ELECTO
ADHEMAR WILCARANI MORALES|ALCALDE (SA)|undefined|undefined|ELECTO
FLORENCIO CONDO CARI|ALCALDE (SA)|undefined|undefined|ELECTO
SANTOS SAUL FLORES COPA|ALCALDE (SA)|undefined|undefined|ELECTO
KENNEDY CONDORI FLORES|ALCALDE (SA)|undefined|undefined|ELECTO
ROGELIO VALLEJOS MAMANI|ALCALDE (SA)|undefined|undefined|ELECTO
CELESTINO FERNANDO VIZA VIZA|ALCALDE (SA)|undefined|undefined|ELECTO
FANOR WALTER CAPUMA CONDORI|ALCALDE (SA)|undefined|undefined|ELECTO
MARCOS MIRANDA MAMANI|ALCALDE (SA)|undefined|undefined|ELECTO
AUGUSTO CONDORI GOMEZ|ALCALDE (SA)|undefined|undefined|ELECTO
MARTIN SABINO QUISPE ALARCON|ALCALDE (SA)|undefined|undefined|ELECTO
MARIA ESTELA AYMA PACO|ALCALDE (SA)|undefined|undefined|ELECTO
FERNANDO APOLINAR SOLA CHOQUE|ALCALDE (SA)|undefined|undefined|ELECTO
CARLOS JOHNNI VARGAS HURTADO|ALCALDE (SA)|undefined|undefined|ELECTO
FLORIAN CONDORI CHOQUE|ALCALDE (SA)|undefined|undefined|ELECTO
OSCAR ANAGUA QUISPE|ALCALDE (SA)|undefined|undefined|ELECTO
JULIO FREDDY CUBA RAMIREZ|ALCALDE (SA)|undefined|undefined|ELECTO
EDUARDO FLORES  QUETEGUARI|ALCALDE (SA)|undefined|undefined|ELECTO
