rank,English exonym,code,total pop.,endonym,language family (branch)
136,Koongo,kng,8.0M,Kikongo,Niger-Congo (Bantoid)
137,Bulgarian,bul,7.9M,български език‎,Indo-European (Slavic)
138,Kabyle,kab,7.9M,ⵜⴰⵇⴱⴰⵢⵍⵉⵜ,Afro-Asiatic (Berber)
139,Marwari,rwr,7.9M,मारवाड़ी,Indo-European (Indo-Aryan)
140,Umbundu,umb,7.8M,Umbundu,Niger-Congo (Bantoid)
141,Madura,mad,7.8M,Basa Mathura,Austronesian (Malayo-Polynesian)
142,Krio,kri,7.8M,Krio,English-Based Creole
143,Santhali,sat,7.6M,Har Rar,Austroasiatic
144,Merina Malagasy,plt,7.5M,Malagasy ôfisialy,Austronesian (Malayo-Polynesian)
145,Slovak,slk,7.4M,Slovenčina,Indo-European (Slavic)
146,Kashmiri,kas,7.1M,کٲشُر,Indo-European (Indo-Aryan)
147,Luba-Kasai,lua,7.1M,Ciluba,Niger-Congo (Bantoid)
148,Varhadi-Nagpuri,vah,7.0M,वरहदी-नागपुरी,Indo-European (Indo-Aryan)
149,Indian Sign Language,ins,6.8M,![ISL](https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Indian_Sign_Language_in_ISL_SignWriting%2C_vertical.png/800px-Indian_Sign_Language_in_ISL_SignWriting%2C_vertical.png),Indo-Pakistani-Nepalese Sign
150,Paraguayan Guaraní,gug,6.5M,Avañe'ẽ,Tupian
151,Ilocano,ilo,6.5M,Ilokano,Austronesian (Malayo-Polynesian)
152,Swiss German,gsw,6.5M,Schwiizerdütsch,Indo-European (Germanic)
153,Croatian,hrv,6.4M,Hrvatski,Indo-European (Slavic)
154,Central Pashto,pst,6.4M,پښتو,Indo-European (Iranic)
155,Pulaar,fuc,6.3M,Pulaar,Niger-Congo (North-Central Atlantic)
156,Hiligaynon,hil,6.3M,Ilonggo,Austronesian (Malayo-Polynesian)
157,Turkmen,tuk,6.1M,Türkmençe,Turkic
158,Zarma,dje,6.1M,Zarma sanni,Nilo-Saharan (Songhay)
159,Northern Thai,nod,6.0M,คำเมือง,Tai-Kadai
160,Kanauji,bjj,6.0M,देहाती,Indo-European (Indo-Aryan)
161,Tachelhit,shi,5.8M,ⵜⴰⵛⵍⵃⵉⵢⵜ,Afro-Asiatic (Berber)
162,Danish,dan,5.8M,Dansk,Indo-European (Germanic)
163,Adamawa Fulfulde,fub,5.7M,Fulfulde,Niger-Congo (North-Central Atlantic)
164,Napoletano,nap,5.7M,Napulitano,Indo-European (Romance)
165,Bundeli,bns,5.6M,बुन्देली,Indo-European (Indo-Aryan)
166,Finnish,fin,5.6M,Suomi,Uralic
167,Libyan Arabic,ayl,5.6 M,ليبي,Afro-Asiatic (Semitic)
168,Éwé,ewe,5.5M,Èʋegbe,Niger-Congo (Kwa Volta-Congo)
169,Malvi,mup,5.4M,मालवी,Indo-European (Indo-Aryan)
170,Huizhou Chinese,czh,5.4M,徽州話,Sino-Tibetan (Sinitic)
171,Norwegian,nor,5.4M,Norsk,Indo-European (Germanic)
172,Kyrgyz,kir,5.4M,кыргыз тили,Turkic
173,Central Kurdish,ckb,5.3M,زمانی سۆرانی‎,Indo-European (Iranic)
174,Baoulé,bci,5.3M,Wawle,Niger-Congo (Kwa Volta-Congo)
175,Kamba,kam,5.3M,Kĩkamba,Niger-Congo (Bantoid)
176,Dholuo,luo,5.3M,Dholuo,Nilo-Saharan (Satellites)
177,Northern Hindko,hno,5.3M,ہندکو,Indo-European (Indo-Aryan)
178,Sango,sag,5.2M,Sängö,Ngbandi-Based Creole
179,Hassaniyya,mey,5.2M,حسانية,Afro-Asiatic (Semitic)
180,Hadrami Arabic,ayh,5.1M,حضرمي,Afro-Asiatic (Semitic)
181,Lambadi,lmn,5.1M,బంజార,Indo-European (Indo-Aryan)
182,Sidamo,sid,5.0M,Sidaamu Afoo,Afro-Asiatic (Cushitic)
183,Ghanaian Pidgin English,gpe,5.0M,Pidgin,English-Based Creole
184,Betawi,bew,5.0M,Betawi,Malay-Based Creole
185,Liberian Pidgin English,lir,5.0M,Koloqua,English-Based Creole
186,Gheg Albanian,aln,4.9M,Gegnisht,Indo-European (Albanic)
187,Minangkabau,min,4.9M,Minangkabau,Austronesian (Malayo-Polynesian)
188,Pular,fuf,4.9M,Pular,Niger-Congo (North-Central Atlantic)
189,Tatar,tat,4.8M,татар теле,Turkic
190,Awadhi,awa,4.8M,अवधी,Indo-European (Indo-Aryan)
191,Swati,ssw,4.7M,siSwati,Niger-Congo (Bantoid)
192,Sicillian,scn,4.7M,Sicilianu,Indo-European (Romance)
193,Shan,shn,4.7M,လိၵ်ႈတႆး‎,Tai-Kadai
194,Southern Uzbek,uzs,4.6M,ﯣزبېک,Turkic
195,Tiv,tiv,4.6M,Tiv,Niger-Congo (Bantoid)
196,Southern Thai,sou,4.5M,ภาษาไทยถิ่นใต้,Tai-Kadai
197,Lao,lao,4.5M,ພາສາລາວ‎,Tai-Kadai
198,Bugis,bug,4.4M,Basa Ugi,Austronesian (Malayo-Polynesian)
199,Southern Kurdish,sdh,4.3M,کوردیی باشووری,Indo-European (Iranic)
200,Mewari,mtr,4.2M,मेवाड़ी,Indo-European (Indo-Aryan)
