idioma,c2012_total,c2012_hombres,c2012_mujeres,c2012_urbana,c2012_rural,c2024_total,c2024_hombres,c2024_mujeres,c2024_urbana,c2024_rural,qid,label_en,label_es,wikipedia_articles
Machineri,9,6,3,0,9,9,7,2,0,9,Q12953681,Machinere,NA,en: Machinere language; pms: Lenga machinere
Maropa,116,67,49,43,73,25,16,9,13,12,Q3111857,Reyesano,Idioma maropa,ast: Idioma maropa; ca: Maropa; ckb: زمانی ڕێیێسانۆ; en: Reyesano language; es: Idioma maropa; fr: Reyesano; hr: Maropa; pms: Lenga reyesano; ru: Рейесано; sh: Maropa; tt: Маропа теле
Mojeño-ignaciano,1051,591,460,693,358,277,157,120,191,86,Q3148190,Ignaciano,Idioma ignaciano,ast: Idioma ignaciano; ca: Mojeño-ignaciano; es: Idioma ignaciano; fr: Ignaciano; pms: Lenga ignaciano
Mojeño-trinitario,2585,1380,1205,864,1721,1400,722,678,377,1023,Q3539279,Trinitario,trinitario,ast: Idioma trinitariu; ca: Mojeño-trinitario; es: Idioma trinitario; fr: Trinitario (langue); pms: Lenga trinitario
Moré,8,6,2,1,7,8,7,1,7,1,NA,NA,NA,
Mosetén,757,414,343,48,709,739,386,353,41,698,NA,NA,NA,
Movima,502,288,214,295,207,167,99,68,101,66,Q1659701,Movima,Idioma movima,ast: Idioma movima; br: Movimeg; ca: Movima; ckb: زمانی مۆڤیما; en: Movima language; es: Idioma movima; fr: Movima; gn: Movimañe’ẽ; ja: モビマ語; mk: Мовимајски јазик; pms: Lenga movima; pt: Língua movima; qu: Mowima simi; ru: Мовима (язык); sq: Gjuha Movima; tt: Мовима теле
Pacahuara,6,2,4,0,6,25,13,12,0,25,Q2591165,Pacahuara,Idioma pacahuara,ast: Idioma pacahuara; ca: Pacawara; en: Pakawara language; es: Idioma pacahuara; fr: Pacahuara (langue); pms: Lenga pacahuara; ru: Пакауара (язык); tt: Пакавара теле
Puquina,76,41,35,23,53,50,26,24,11,39,NA,NA,NA,
Quechua,1339919,645546,694373,476530,863389,1033963,493205,540758,270951,763012,Q5218,Quechua,lenguas quechuas,af: Quechua; am: ቀቿ; ang: Kescwisc sprǣccynn; anp: क्वेशुआ भाषा; an: Idioma quichua; ar: كتشوا; ast: Idioma quechua; ay: Qhichwäru; az: Keçua dilləri; bar: Quechua; be_x_old: Кечуа (мова); be: Кечуанскія мовы; bg: Кечуа (език); bn: কেচুয়া ভাষাসমূহ; br: Kechuaeg; bs: Kečuanski jezik; ca: Quítxua; ckb: زمانەکانی کێچوا; cs: Kečuánština; cv: Кечуа (чĕлхе); cy: Quechua; da: Quechua; de: Quechua; diq: Keçuwa; el: Γλώσσες Κέτσουα; en: Quechuan languages; eo: Keĉua lingvaro; es: Lenguas quechuas; et: Ketšua keel; eu: Kitxua; fa: زبان‌های کچوا; fi: Ketšua; frr: Ketschua spriaken; fr: Quechua; fy: Ketsjûa (taal); ga: An Cheatsuais; gd: Quechua; gl: Linguas quechuas; gn: Kechuañe’ẽ; gu: કેચુઆ ભાષા; hak: Quechua-ngî; haw: ʻŌlelo Kekua; he: קצ'ואה; hif: Quechua bhasa; hi: क्वेशुआ भाषाएं; hr: Kečuanski jezik; hu: Kecsua nyelv; hy: Կեչուա լեզուներ; ia: Linguas quechua; id: Rumpun bahasa Quechua; io: Quechua-linguo; is: Ketsjúa; it: Lingue quechua; iu: ᑮᓱᐊ; ja: ケチュア語族; ka: კეჩუა (ენა); kge: Basa Kicuwa; kk: Кечуа тілі; kn: ಕ್ವೆಚುವಾ ಭಾಷೆಗಳು; ko: 케추아어족; kv: Кечуа (кыв); la: Linguae Quechuae; lfn: Cetxua (lingua); lij: Quechua; li: Quechua; lt: Kečujų kalba; lv: Kečvu valoda; mg: Fiteny ketsoà; mi: Reo Keitua; mk: Кечуански јазици; ml: ക്വെചുവൻ ഭാഷ; mr: क्वेचुआ भाषा; ms: Bahasa Quechua; mzn: کچوئا; nah: Quechuatlatolli; nds: Quechua (Spraak); new: केचुआ भाषा माचाछि; nl: Quechua (taal); nn: Quechuaspråk; no: Quechua; oc: Quíchoa; pl: Język keczua; pms: Lenghe quechuan; pnb: کیوچوا; ps: کيچوا ژبه; pt: Língua quíchua; qu: Qhichua simi; rm: Quechua; ro: Limbi quechua; ru: Кечуанские языки; sah: Кечуа тыла; sat: ᱠᱮᱪᱩᱣᱟᱱ ᱯᱟᱹᱨᱥᱤᱠᱚ; sco: Quechuan leids; sh: Kečuanski jezik; simple: Quechua; sk: Kečuánčina; sl: Kečuanščina; sq: Kueçua (gjuhë); sr: Кечуа (језик); stq: Quechua; sv: Quechua; ta: கெச்வா மொழிகள்; te: కెచ్వా భాష; th: ตระกูลภาษาเกชัว; tok: toki Kisuwa; tr: Keçuva dilleri; tt: Кечуа теле; ug: كېچۇئا تىلى; uk: Кечуа (мова); ur: کیچوائی زبانیں; vep: Kečuan kel'; vi: Ngữ hệ Quechua; wa: Ketchwa; wikifunctions: Z1678; wuu: 克丘亚语; xmf: კეჩუა (ნინა); zh_min_nan: Quechua-gí; zh_yue: 奇楚華文; zh: 克丘亞語
Sirionó,160,76,84,16,144,66,40,26,7,59,Q3027953,Sirionó,sirionó,ast: Idioma sirionó; ca: Sirionó; ckb: زمانی سیریۆنۆ; en: Sirionó language; es: Idioma sirionó; et: Siriono keel; fr: Siriono; gn: Sirionoñe’ẽ; ha: Harshen Sirionó; ig: Asụsụ Sirionó; nl: Siriona; pms: Lenga sirionó; pt: Língua sirionó; ru: Сирионо (язык); tt: Сирионо теле; wikifunctions: Z1611
Tacana,812,470,342,198,614,548,314,234,77,471,Q3182551,Tacana,Tacana,ca: Tacana; ckb: زمانی تاکانا; en: Tacana language; es: Lengua tacana; fr: Tacana; ja: タカナ語; mk: Такански јазик; nl: Tacana (taal); nn: Takana; no: Takana (språk); pms: Lenga tacana; qu: Takana simi; ru: Такана (язык); tt: Такана теле
Tapiete,48,28,20,6,42,47,29,18,7,40,Q3121063,Tapieté,Tapieté,ast: Dialeutu tapiete; az: Çiriquanolar; ca: Tapiete; es: Dialecto tapiete; fi: Tapieté; fr: Tapieté; hr: Ñandeva jezik; ja: タピエテ語; lt: Tapietų kalba; pms: Lenga tapieté; pt: Tapieté; ru: Тапиете; sv: Tapiete (språk)
Tsimane',8904,4727,4177,417,8487,15266,7983,7283,205,15061,Q35950,Chimane,Lenguas mosetenas,br: Tsimaneg; ca: Tsimané; ckb: زمانی چیمانێ; en: Chimane language; fr: Chimane (langue); gl: Lingua tsimané; hr: Tsimané jezik; pms: Lenga tsimané; pt: Língua chimané; ru: Мосетен; sq: Gjuha Çimane; tt: Чимане теле
Uru-chipaya,1383,691,692,30,1353,1853,942,911,17,1836,Q35235,Chipaya,chipaya,ast: Idioma chipaya; br: Tchipayeg; ca: Chipaya; cs: Chipaya; de: Chipaya (Sprache); en: Chipaya language; es: Idioma chipaya; fr: Chipaya; gl: Lingua chipaia; hif: Chipaya bhasa; hr: Čipaja jezik; ko: 치파야어; pms: Lenga chipaya; qu: Chipaya simi; ru: Чипайя (язык)
Weenhayek,3482,1776,1706,543,2939,4216,2062,2154,609,3607,Q5908756,Wichí Lhamtés Nocten,Idioma weenhayek,ast: Idioma mataco; az: Nokten dili; bn: উইচি লামতেস নকতেন; ckb: ویچی ڵھامتێن نۆکتێن; en: Wichí Lhamtés Nocten; es: Idioma mataco; et: Nokteni keel; it: Lingua wichí; oc: Wichí lhamtés nocten; pms: Lenga wichí lhamtés nocten; ru: Ноктен (язык); tt: Вэнхаек теле; vi: Wichí Lhamtés Nocten
Yaminawa,127,63,64,5,122,102,51,51,9,93,Q3026110,Yaminawa,Idioma yaminahua,ca: Iaminauà; ckb: زمانی یامیناوا; en: Yaminawa language; es: Idioma yaminahua; fr: Yaminahua; ha: Harshen Yaminawa; hr: Yaminahua jezik; ig: Asụsụ Yaminawa; pms: Lenga yaminahua; pt: Língua yaminaua; ru: Яминава (язык); tt: Яминава теле
Yuqui,123,63,60,22,101,234,119,115,3,231,Q8061440,Yuqui,Yuqui (idioma),"ca: Yuki (Bolívia); en: Yuqui language; es: Idioma yuki (Bolivia); fr: Yuki (langue tupi-guarani); pms: Lenga yuqui; pt: Língua yuqui; ru: Юки (язык, Боливия)"
