ine_code,muni_name,department,qid,file,category,outcome
021004,Colquiri,La Paz,Q1544551,"Flag of Colquiri, Bolivia.svg",Flags of municipalities of Bolivia,added
021402,Coripata,La Paz,Q1303284,"Flag of Coripata, Bolivia.svg",Flags of municipalities of Bolivia,added
020301,Coro Coro,La Paz,Q1814929,"Flag of Corocoro, Bolivia.svg",Flags of municipalities of Bolivia,added
021602,Curva,La Paz,Q1544505,"Flag of Curva, Bolivia.svg",Flags of municipalities of Bolivia,added
020804,Desaguadero,La Paz,Q1952961,"Flag of Desaguadero, Bolivia.svg",Flags of municipalities of Bolivia,added
020602,Guanay,La Paz,Q1551023,"Flag of Guanay, Bolivia.svg",Flags of municipalities of Bolivia,added
020204,Huarina,La Paz,Q1952982,"Flag of Huarina, Bolivia.svg",Flags of municipalities of Bolivia,added
021501,Ixiamas,La Paz,Q1544558,"Flag of Ixiamas, Bolivia.svg",Flags of municipalities of Bolivia,added
021105,La Asunta,La Paz,Q1552078,"Flag of La Asunta, Bolivia.svg",Flags of municipalities of Bolivia,added
020904,Malla,La Paz,Q1315889,"Flag of Malla, Bolivia.svg",Flags of municipalities of Bolivia,added
020103,Mecapaca,La Paz,Q1551628,"Flag of Mecapaca, Bolivia.svg",Flags of municipalities of Bolivia,added
021104,Palos Blancos,La Paz,Q1551606,"Flag of Palos Blancos, Bolivia.svg",Flags of municipalities of Bolivia,added
021305,Patacamaya,La Paz,Q490971,"Flag of Patacamaya, Bolivia.svg",Flags of municipalities of Bolivia,added
021901,Santiago de Machaca,La Paz,Q1544546,"Flag of Santiago de Machaca, Bolivia.svg",Flags of municipalities of Bolivia,added
020601,Sorata,La Paz,Q1860758,"Flag of Sorata, Bolivia.svg",Flags of municipalities of Bolivia,added
020803,Tiahuanaco,La Paz,Q681960,"Flag of Tiahuanacu, Bolivia.svg",Flags of municipalities of Bolivia,added
020606,Tipuani,La Paz,Q1585089,Flag of Tipuani.svg,Flags of municipalities of Bolivia,added
040503,Cruz de Machacamarca,Oruro,Q647771,"Flag of Cruz de Machacamarca, Bolivia.svg",Flags of municipalities of Bolivia,added
040501,Huachacalla,Oruro,Q647800,"Flag of Huachacalla, Bolivia.svg",Flags of municipalities of Bolivia,added
041501,La Rivera,Oruro,Q647786,"Flag of La Rivera, Bolivia.svg",Flags of municipalities of Bolivia,added
040104,Paria,Oruro,Q684618,"Flag of Paria, Bolivia.svg",Flags of municipalities of Bolivia,added
040602,Pazña,Oruro,Q528661,"Flag of Pazña, Bolivia.svg",Flags of municipalities of Bolivia,added
040901,Sabaya,Oruro,Q1478043,"Flag of Sabaya, Bolivia.svg",Flags of municipalities of Bolivia,added
040402,Turco,Oruro,Q796998,"Flag of Turco, Bolivia.svg",Flags of municipalities of Bolivia,added
