"facility_id","canonical_id","canonical_name","canonical_city","canonical_state","facility_name","facility_city","facility_state"
183,184,"Joe Corley Processing Center","Conroe","TX","Joe Corley ICE Processing Center","Conroe","TX"
184,184,"Joe Corley Processing Center","Conroe","TX","Joe Corley Processing Center","Conroe","TX"
185,185,"Johnson County Corrections Center","Cleburne","TX","Johnson County Corrections Center","Cleburne","TX"
186,186,"Kandiyohi County Jail","Willmar","MN","Kandiyohi County Jail","Willmar","MN"
187,187,"Kankakee County Jail (Jerome Combs Detention Center)","Kankakee","IL","Kankakee County Jail (Jerome Combs Detention Center)","Kankakee","IL"
188,188,"Kansas City Holdroom","Kansas City","MO","Kansas City Holdroom","Kansas City","MO"
189,192,"Karnes County Residential Center","Karnes City","TX","Karnes County Civil Detention Center","Karnes City","TX"
190,190,"Karnes County Correctional Center","Karnes City","TX","Karnes County Correctional Center","Karnes City","TX"
191,193,"Karnes County Immigration Processing Center","Karnes City","TX","Karnes County Immigration Processing Center","Karnes City","TX"
192,192,"Karnes County Residential Center","Karnes City","TX","Karnes County Residential Center","Karnes City","TX"
193,193,"Karnes County Immigration Processing Center","Karnes City","TX","Karnes County Residential Center2","Karnes City","TX"
194,194,"Kay County Justice Facility","Newkirk","OK","Kay County Justice Facility","Newkirk","OK"
195,195,"Kenosha County Detention Center","Kenosha","WI","Kenosha County Detention Center","Kenosha","WI"
196,196,"Kenton County Jail","Covington","KY","Kenton County Jail","Covington","KY"
197,197,"Kittitas County Jail","Ellensburg","WA","Kittitas County Jail","Ellensburg","WA"
198,198,"Knox County Detention Facility","Knoxville","TN","Knox County Detention Facility","Knoxville","TN"
199,199,"Krome North Service Processing Center","Miami","FL","Krome North Service Processing Center","Miami","FL"
200,201,"La Palma Correctional Center","Eloy","AZ","La Palma Correction Center - Apso","Eloy","AZ"
201,201,"La Palma Correctional Center","Eloy","AZ","La Palma Correctional Center","Eloy","AZ"
202,202,"La Paz County Adult Detention Facility","Parker","AZ","La Paz County Adult Detention Facility","Parker","AZ"
203,203,"La Quinta Inn By Wyndham Sna","San Antonio","TX","La Quinta Inn By Wyndham Sna","San Antonio","TX"
204,204,"La Quinta-Wyndham-Casa De Paz","Pearsall","TX","La Quinta-Wyndham-Casa De Paz","Pearsall","TX"
205,205,"La Salle County Regional Detention Center","Encinal","TX","La Salle County Regional Detention Center","Encinal","TX"
206,206,"Lake County Jail","Tavares","FL","Lake County Jail","Tavares","FL"
207,207,"Laramie County Jail","Cheyenne","WY","Laramie County Jail","Cheyenne","WY"
208,208,"Laredo Processing Center","Laredo","TX","Laredo Processing Center","Laredo","TX"
209,209,"Lasalle Correctional Center Olla","Olla","LA","Lasalle Correctional Center Olla","Olla","LA"
210,210,"Central Louisiana ICE Processing Center (CLIPC)","Jena","LA","Lasalle ICE Processing Center (Jena)","Jena","LA"
211,211,"Laurel County Correctional Center","London","KY","Laurel County Correctional Center","London","KY"
212,212,"Lawrence County","Deadwood","SD","Lawrence County","Deadwood","SD"
213,213,"Leavenworth US Penitentiary","Leavenworth","KS","Leavenworth US Penitentiary","Leavenworth","KS"
214,214,"Lehigh County Jail (Pennsylvania)","Allentown","PA","Lehigh County Jail (Pennsylvania)","Allentown","PA"
215,215,"Levy County Jail","Bronson","FL","Levy County Jail","Bronson","FL"
216,216,"Lexington County Jail","Lexington","SC","Lexington County Jail","Lexington","SC"
217,217,"Limestone County Detention Center","Groesbeck","TX","Limestone County Detention Center","Groesbeck","TX"
218,218,"Lincoln County Detention Center","Troy","MO","Lincoln County Detention Center","Troy","MO"
219,219,"Lincoln County Jail","North Platte","NE","Lincoln County Jail","North Platte","NE"
220,220,"Linn County Jail","Cedar Rapids","IA","Linn County Jail","Cedar Rapids","IA"
221,221,"Logan County Jail","Guthrie","OK","Logan County Jail","Guthrie","OK"
222,222,"Lonoke Police Department","Lonoke","AR","Lonoke Police Department","Lonoke","AR"
223,223,"Louisiana ICE Processing","Angola","LA","Louisiana ICE Processing","Angola","LA"
224,224,"Lubbock County Detention Center","Lubbock","TX","Lubbock County Detention Center","Lubbock","TX"
225,225,"Madison County Jail","Canton","MS","Madison County Jail","Canton","MS"
226,226,"Mahoning County Jail","Youngstown","OH","Mahoning County Jail","Youngstown","OH"
227,227,"Folkston Main IPC","Folkston","GA","Main - Folkston IPC (D Ray James)","Folkston","GA"
228,228,"Marion County Jail","Indianapolis","IN","Marion County Jail","Indianapolis","IN"
229,229,"Marshall County Jail","Marshalltown","IA","Marshall County Jail","Marshalltown","IA"
230,230,"Martin County Jail","Stuart","FL","Martin County Jail","Stuart","FL"
231,231,"Mccook Detention Center","McCook","NE","Mccook Detention Center","McCook","NE"
232,232,"Mchenry County Correctional Facility","Woodstock","IL","Mchenry County Correctional Facility","Woodstock","IL"
233,233,"Mesa Verde ICE Processing Center","Bakersfield","CA","Mesa Verde ICE Processing Center","Bakersfield","CA"
234,234,"Miami Correctional Center","Bunker Hill","IN","Miami Correctional Center","Bunker Hill","IN"
235,235,"Miami Federal Detention","Miami","FL","Miami Federal Detention","Miami","FL"
236,236,"Miami Staging Facility","Miami","FL","Miami Staging Facility","Miami","FL"
237,237,"Midland County Detention Center","Midland","TX","Midland County Detention Center","Midland","TX"
238,238,"Miller County Jail","Texarkana","AR","Miller County Jail","Texarkana","AR"
239,239,"Minicassia Detention Center","Burley","ID","Minicassia Detention Center","Burley","ID"
240,240,"Minnehaha County Jail","Sioux Falls","SD","Minnehaha County Jail","Sioux Falls","SD"
241,241,"Monroe County Detention Center","Key West","FL","Monroe County Detention Center","Key West","FL"
242,242,"Monroe County Detention-Dorm","Monroe","MI","Monroe County Detention-Dorm","Monroe","MI"
243,243,"Montgomery City Jail","Montgomery","AL","Montgomery City Jail","Montgomery","AL"
244,244,"Montgomery County Jail","Fonda","NY","Montgomery County Jail","Fonda","NY"
245,245,"Montgomery County Jail","Montgomery City","MO","Montgomery County Jail","Montgomery City","MO"
246,246,"Montgomery ICE Processing Center","Conroe","TX","Montgomery ICE Processing Center","Conroe","TX"
247,247,"Morgan County Adult Detention Center","Versailles","MO","Morgan County Adult Detention Center","Versailles","MO"
248,248,"Morrow County Correctional Facility","Mount Gilead","OH","Morrow County Correctional Facility","Mount Gilead","OH"
249,250,"Moshannon Valley Processing Center","Philipsburg","PA","Moshannon Valley Correctional","Philipsburg","PA"
250,250,"Moshannon Valley Processing Center","Philipsburg","PA","Moshannon Valley Processing Center","Philipsburg","PA"
251,251,"Muscatine County Jail","Muscatine","IA","Muscatine County Jail","Muscatine","IA"
252,252,"Nassau County Correctional Center","East Meadow","NY","Nassau County Correctional Center","East Meadow","NY"
253,253,"Natchitoches Parish Detention. Center","Natchitoches","LA","Natchitoches Parish Detention. Center","Natchitoches","LA"
254,254,"Natrona County Jail","Casper","WY","Natrona County Jail","Casper","WY"
255,255,"Nelson Coleman Correction","Killona","LA","Nelson Coleman Correction","Killona","LA"
256,256,"Nevada Southern Detention Center","Pahrump","NV","Nevada Southern Detention Center","Pahrump","NV"
257,257,"New Hanover County Jail","Castle Hayne","NC","New Hanover County Jail","Castle Hayne","NC"
258,258,"Niagara County Jail","Lockport","NY","Niagara County Jail","Lockport","NY"
259,259,"Nobles County Jail","Worthington","MN","Nobles County Jail","Worthington","MN"
260,260,"North Central Regional Jail","Greenwood","WV","North Central Regional Jail","Greenwood","WV"
261,262,"North Lake Correctional Facility","Baldwin","MI","North Lake Correctional F","Baldwin","MI"
262,262,"North Lake Correctional Facility","Baldwin","MI","North Lake Correctional Facility","Baldwin","MI"
263,264,"Northeast Ohio Correctional Center","Youngstown","OH","Northeast Ohio Correctional Center","Youngstown","OH"
264,264,"Northeast Ohio Correctional Center","Youngstown","OH","Northeast Ohio Correctional Center (Youngstown Cdf)","Youngstown","OH"
265,265,"Northern Oregon Correctional Facility","The Dalles","OR","Northern Oregon Correctional Facility","The Dalles","OR"
266,266,"Northern Oregon Juvenile Detention","The Dalles","OR","Northern Oregon Juvenile Detention","The Dalles","OR"
267,267,"Northern Regional Jail","Moundsville","WV","Northern Regional Jail","Moundsville","WV"
268,361,"Northwest ICE Processing Center","Tacoma","WA","Northwest ICE Processing Center","Tacoma","WA"
269,361,"Northwest ICE Processing Center","Tacoma","WA","Northwest ICE Procsesing Center","Tacoma","WA"
270,270,"Northwest Regional Corrections Center","Crookston","MN","Northwest Regional Corrections Center","Crookston","MN"
271,271,"Northwest State Correctional Center","Swanton","VT","Northwest State Correctional Center","Swanton","VT"
272,273,"Nye County Detention Center (Nevada)","Pahrump","NV","Nye County Detention Center, Southern (Pahrump)","Pahrump","NV"
273,273,"Nye County Detention Center (Nevada)","Pahrump","NV","Nye County Sheriff-Pahrump","Pahrump","NV"
274,274,"Odo Inspection End Date Is The Date The Final Report Was Issued.",NA,NA,"Odo Inspection End Date Is The Date The Final Report Was Issued.",NA,NA
275,275,"Odo Inspections Are Conducted On A Semi-Annual Basis. The Reportable Inspections Are Listed.",NA,NA,"Odo Inspections Are Conducted On A Semi-Annual Basis. The Reportable Inspections Are Listed.",NA,NA
276,276,"Ogle County Jail","Oregon","IL","Ogle County Jail","Oregon","IL"
277,277,"Okmulgee County Jail","Okmulgee","OK","Okmulgee County Jail","Okmulgee","OK"
278,278,"Oldham County Detention Center","La Grange","KY","Oldham County Detention Center","La Grange","KY"
279,279,"Oldham County Jail","La Grange","KY","Oldham County Jail","La Grange","KY"
280,283,"Orange County Jail (New York)","Goshen","NY","Orange County Jail","Goshen","NY"
281,282,"Orange County Jail (Florida)","Orlando","FL","Orange County Jail","Orlando","FL"
282,282,"Orange County Jail (Florida)","Orlando","FL","Orange County Jail (Florida)","Orlando","FL"
283,283,"Orange County Jail (New York)","Goshen","NY","Orange County Jail (New York)","Goshen","NY"
284,285,"Otay Mesa Detention Center","San Diego","CA","Otay Mesa Detention Center","San Diego","CA"
285,285,"Otay Mesa Detention Center","San Diego","CA","Otay Mesa Detention Center (San Diego Cdf)","San Diego","CA"
286,286,"Otero County Detention","Alamogordo","NM","Otero County Detention","Alamogordo","NM"
287,287,"Otero County Processing Center","Chaparral","NM","Otero County Processing Center","Chaparral","NM"
288,288,"Ozark County Sheriff's Office","Gainesville","MO","Ozark County Sheriff's Office","Gainesville","MO"
289,289,"Pennington County Jail (South Dakota)","Rapid City","SD","Pennington County Jail (South Dakota)","Rapid City","SD"
290,292,"Phelps County Jail (Nebraska)","Holdrege","NE","Phelps County Jail","Holdrege","NE"
291,291,"Phelps County Jail (Missouri)","Rolla","MO","Phelps County Jail (Missouri)","Rolla","MO"
292,292,"Phelps County Jail (Nebraska)","Holdrege","NE","Phelps County Jail (Nebraska)","Holdrege","NE"
293,293,"Pickens County Detention Center","Carrollton","AL","Pickens County Detention Center","Carrollton","AL"
