Q1355950 | P1082 | 117009 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355971 | P1082 | 95906 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355971 | P1082 | 134965 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355971 | P1082 | 176183 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1360766 | P1082 | 37428 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1360766 | P1082 | 55327 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1360766 | P1082 | 63636 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1360805 | P1082 | 6136 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1360805 | P1082 | 7232 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1360805 | P1082 | 9372 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1360821 | P1082 | 35323 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1360821 | P1082 | 42447 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1360821 | P1082 | 39405 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1360850 | P1082 | 10623 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
