"municipality","department","muni_anexo","file","size_kb"
"Chuma","La Paz","Chuma","output/locator_maps/workbench_hd_3/Chuma_muni_locator_map.svg",7514.9
"Collana","La Paz","Collana","output/locator_maps/workbench_hd_3/Collana_muni_locator_map.svg",7514.4
"Colquencha","La Paz","Colquencha","output/locator_maps/workbench_hd_3/Colquencha_muni_locator_map.svg",7514.7
"Colquiri","La Paz","Colquiri","output/locator_maps/workbench_hd_3/Colquiri_muni_locator_map.svg",7515.2
"Comanche","La Paz","Comanche","output/locator_maps/workbench_hd_3/Comanche_muni_locator_map.svg",7515
"Combaya","La Paz","Combaya","output/locator_maps/workbench_hd_3/Combaya_muni_locator_map.svg",7514.4
"Copacabana","La Paz","Copacabana","output/locator_maps/workbench_hd_3/Copacabana_muni_locator_map.svg",7515
"Coripata","La Paz","Coripata","output/locator_maps/workbench_hd_3/Coripata_muni_locator_map.svg",7515
"Corocoro","La Paz","Coro Coro","output/locator_maps/workbench_hd_3/Coro_Coro_muni_locator_map.svg",7516
"Coroico","La Paz","Coroico","output/locator_maps/workbench_hd_3/Coroico_muni_locator_map.svg",7515.2
"Curva","La Paz","Curva","output/locator_maps/workbench_hd_3/Curva_muni_locator_map.svg",7514.9
"Desaguadero","La Paz","Desaguadero","output/locator_maps/workbench_hd_3/Desaguadero_muni_locator_map.svg",7514.3
"El Alto","La Paz","El Alto","output/locator_maps/workbench_hd_3/El_Alto_muni_locator_map.svg",7514.9
"Escoma","La Paz","Escoma","output/locator_maps/workbench_hd_3/Escoma_muni_locator_map.svg",7514.5
"Guanay","La Paz","Guanay","output/locator_maps/workbench_hd_3/Guanay_muni_locator_map.svg",7517
"Huarina","La Paz","Huarina","output/locator_maps/workbench_hd_3/Huarina_muni_locator_map.svg",7514.5
"Huatajata","La Paz","Huatajata","output/locator_maps/workbench_hd_3/Huatajata_muni_locator_map.svg",7514.2
"Humanata","La Paz","Humanata","output/locator_maps/workbench_hd_3/Humanata_muni_locator_map.svg",7514.6
"Ichoca","La Paz","Ichoca","output/locator_maps/workbench_hd_3/Ichoca_muni_locator_map.svg",7515.2
"Inquisivi","La Paz","Inquisivi","output/locator_maps/workbench_hd_3/Inquisivi_muni_locator_map.svg",7516.5
