CodigoMesa,Descripcion,CodigoPais,NombrePais,CodigoDepartamento,NombreDepartamento,CodigoCircunscripcionU,CodigoCircunscripcionE,CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,NumeroMesa,InscritosHabilitados,Voto1,Voto2,Voto3,Voto4,Voto5,Voto6,Voto7,Voto8,Voto9,Voto10,Voto11,Voto12,VotoValido,VotoBlanco,VotoNuloDirecto,VotoNuloDeclinacion,TotalVotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
100314,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25058,Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,4,320,25,1,10,0,9,4,6,0,3,19,0,0,77,1,63,2,65,143,77,143
100324,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25058,Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,5,320,20,3,10,0,12,6,3,0,7,26,0,0,87,2,47,2,49,138,87,138
100334,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25058,Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,6,320,25,1,11,0,8,7,1,0,8,26,0,0,87,1,55,2,57,145,87,145
100344,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25058,Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,7,325,16,2,12,0,9,4,2,0,6,30,0,0,81,6,39,2,41,128,81,128
100354,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25059,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,1,320,21,0,9,0,5,4,4,0,6,28,0,0,77,4,43,1,44,125,77,125
100364,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25059,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,2,320,26,2,5,0,11,6,2,0,6,36,0,0,94,2,42,2,44,140,94,140
100374,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25059,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,3,320,19,1,4,0,13,1,1,0,9,31,0,0,79,2,37,0,37,118,79,118
100384,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25059,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,4,320,25,1,4,0,5,1,1,0,4,30,0,0,71,0,58,2,60,131,71,131
100394,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25059,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,5,320,24,0,9,0,9,5,2,0,3,30,0,0,82,3,39,1,40,125,82,125
100404,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25059,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,6,320,26,0,9,0,4,4,1,0,11,20,0,0,75,3,56,4,60,138,75,138
